Title,Price,Category,Above_Average,Rank
A Light in the Attic,51.77,Expensive,TRUE,6
Tipping the Velvet,53.74,Expensive,TRUE,3
Soumission,50.1,Expensive,TRUE,8
Sharp Objects,47.82,Expensive,TRUE,9
Sapiens: A Brief History of Humankind,54.23,Expensive,TRUE,2
The Requiem Red,22.65,Medium,FALSE,15
The Dirty Little Secrets of Getting Your Dream Job,33.34,Medium,FALSE,13
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Cheap,FALSE,18
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Medium,FALSE,16
The Black Maria,52.15,Expensive,TRUE,5
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Cheap,FALSE,20
Shakespeare's Sonnets,20.66,Medium,FALSE,17
Set Me Free,17.46,Cheap,FALSE,19
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Expensive,TRUE,4
Rip it Up and Start Again,35.02,Medium,FALSE,12
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Expensive,TRUE,1
Olio,23.88,Medium,FALSE,14
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,Medium,FALSE,11
Libertarianism for Beginners,51.33,Expensive,TRUE,7
It's Only the Himalayas,45.17,Expensive,TRUE,10
